Oregon State,21,A,San Diego State,0
Penn State,34,H,Bowling Green,27
Pittsburgh,28,A,Cincinnati,27
Rice,69,H,Texas Southern,7
Rutgers,49,H,Akron,17
San Jose State,17,A,Air Force,7
South Carolina,31,A,Kentucky,6
Southern California,48,H,Utah State,0
Southern Mississippi,35,H,Southeastern Louisiana,10
Southern Utah,27,A,Texas-El Paso,24
St. Francis PA,23,A,Kent State,17
Stanford,41,H,Cal Poly,7
Syracuse,31,H,Georgia Tech,28
Tennessee,51,N,North Carolina State,10
Texas,31,A,Michigan,12
Texas A&M,52,H,McNeese State,10
Texas Christian,45,H,Long Island,0
Texas State,49,H,Texas-San Antonio,10
Toledo,38,H,Massachusetts,23
Utah,23,H,Baylor,12
Vanderbilt,55,H,Alcorn State,0
Virginia,31,A,Wake Forest,30
Virginia Tech,31,H,Marshall,14
Washington,30,H,Eastern Michigan,9
Washington State,37,H,Texas Tech,16
West Virginia,49,H,Albany,14
Western Kentucky,31,H,Eastern Kentucky,0
Wisconsin,27,H,South Dakota,13
Arizona State,31,A,Texas State,28
South Alabama,87,H,Northwestern State,10
Kansas State,31,H,Arizona,7
Nevada-Las Vegas,23,A,Kansas,20
Akron,31,H,Colgate,20
Alabama,42,A,Wisconsin,10
Appalachian State,21,A,East Carolina,19
Arkansas,37,H,Alabama-Birmingham,27
Auburn,45,H,New Mexico,19
Baylor,31,H,Air Force,3
Brigham Young,34,A,Wyoming,14
Buffalo,34,H,Massachusetts,3
California,31,H,San Diego State,10
Central Florida,35,A,Texas Christian,34
Charlotte,27,H,Gardner-Webb,26
Cincinnati,27,A,Miami OH,16
Coastal Carolina,28,A,Temple,20
Colorado,28,A,Colorado State,9
Duke,26,H,Connecticut,21
Eastern Michigan,37,H,Jacksonville State,34
Florida Atlantic,38,H,Florida International,20
Fresno State,48,H,New Mexico State,0
Georgia,13,A,Kentucky,12
Georgia Southern,42,H,South Carolina State,14
Georgia State,36,H,Vanderbilt,32
Georgia Tech,59,H,Virginia Military Institute,7
Houston,33,H,Rice,7
Illinois,30,H,Central Michigan,9
Indiana,42,A,UCLA,13
Iowa,38,H,Troy,21
Liberty,28,H,Texas-El Paso,10
Louisiana State,36,A,South Carolina,33
Maryland,27,A,Virginia,13
Memphis,20,A,Florida State,12
Miami FL,62,H,Ball State,0
Michigan,28,H,Arkansas State,18
Michigan State,40,H,Prairie View A&M,0
Minnesota,27,H,Nevada,0
Mississippi,40,A,Wake Forest,6
Missouri,27,H,Boston College,21
Nebraska,34,H,Northern Iowa,3
North Carolina,45,H,North Carolina Central,10
North Carolina State,30,H,Louisiana Tech,20
Northwestern,31,H,Eastern Illinois,7
Notre Dame,66,A,Purdue,7
Ohio,21,H,Morgan State,6
Oklahoma,34,H,Tulane,19
Oklahoma State,45,A,Tulsa,10
Oregon,49,A,Oregon State,14
Pittsburgh,38,H,West Virginia,34
Sam Houston,31,H,Hawaii,13
San Jose State,31,H,Kennesaw State,10
South Florida,49,A,Southern Mississippi,24
Tennessee,71,H,Kent State,0
Texas,56,H,Texas-San Antonio,7
Texas A&M,33,A,Florida,20
Texas Tech,66,H,North Texas,21
Toledo,41,A,Mississippi State,17
Utah,38,A,Utah State,21
Virginia Tech,37,A,Old Dominion,17
Washington State,24,N,Washington,19
Western Kentucky,49,A,Middle Tennessee State,21
Western Michigan,59,H,Bethune-Cookman,31
South Alabama,48,A,Appalachian State,14
Illinois,31,A,Nebraska,24
Stanford,26,A,Syracuse,24
Washington State,54,H,San Jose State,52
Arkansas,24,A,Auburn,14
Army,37,H,Rice,14
Boise State,56,H,Portland State,14
Boston College,23,H,Michigan State,19
Brigham Young,38,H,Kansas State,9
Buffalo,23,A,Northern Illinois,20
Central Michigan,37,H,Ball State,34
Cincinnati,34,H,Houston,0
Clemson,59,H,North Carolina State,35
Colorado,38,H,Baylor,31
Colorado State,27,H,Texas-El Paso,17
Connecticut,48,H,Florida Atlantic,14
Duke,45,A,Middle Tennessee State,17
Eastern Michigan,36,H,St. Francis PA,0
Florida,45,A,Mississippi State,28
Florida State,14,H,California,9
Fresno State,38,A,New Mexico,21
Indiana,52,H,Charlotte,14
Iowa,31,A,Minnesota,14
Iowa State,52,H,Arkansas State,7
Jacksonville State,44,H,Southern Mississippi,7
James Madison,70,A,North Carolina,50
Kentucky,41,H,Ohio,6
Liberty,35,H,East Carolina,24
Louisiana State,34,H,UCLA,17
Louisville,31,H,Georgia Tech,19
Maryland,38,H,Villanova,20
Massachusetts,35,H,Central Connecticut State,31
Miami FL,50,A,South Florida,15
Michigan,27,H,Southern California,24
Mississippi,52,H,Georgia Southern,13
Missouri,30,H,Vanderbilt,27
Monmouth,45,A,Florida International,42
Navy,56,H,Memphis,44
Nevada,49,H,Eastern Washington,16
North Texas,44,H,Wyoming,17
Notre Dame,28,H,Miami OH,3
Ohio State,49,H,Marshall,14
Oregon State,38,H,Purdue,21
Penn State,56,H,Kent State,0
Pittsburgh,73,H,Youngstown State,17
Rutgers,26,A,Virginia Tech,23
Sam Houston,31,H,New Mexico State,11
South Carolina,50,H,Akron,7
Southern Methodist,66,H,Texas Christian,42
Temple,45,H,Utah State,29
Tennessee,25,A,Oklahoma,15
Texas,51,H,Louisiana-Monroe,3
Texas A&M,26,H,Bowling Green,20
Texas Tech,30,H,Arizona State,22
Texas-San Antonio,45,H,Houston Baptist,7
Troy,34,H,Florida A&M,12
Tulane,41,A,Louisiana,33
Tulsa,23,A,Louisiana Tech,20
Utah,22,A,Oklahoma State,19
Virginia,43,A,Coastal Carolina,24
Washington,24,H,Northwestern,5
West Virginia,32,H,Kansas,28
Western Kentucky,26,H,Toledo,21
Hawaii,36,H,Northern Iowa,7
Army,42,A,Temple,14
Miami FL,38,H,Virginia Tech,34
Rutgers,21,H,Washington,18
Alabama,41,H,Georgia,34
Arizona,23,A,Utah,10
Boise State,45,H,Washington State,24
Boston College,21,H,Western Kentucky,20
Brigham Young,34,A,Baylor,28
Central Michigan,22,H,San Diego State,21
Charlotte,21,A,Rice,20
Clemson,40,H,Stanford,14
Colorado,48,A,Central Florida,21
Connecticut,47,H,Buffalo,3
Duke,21,H,North Carolina,20
East Carolina,30,H,Texas-San Antonio,20
Eastern Michigan,52,A,Kent State,33
Florida Atlantic,41,H,Wagner,10
Florida International,17,H,Louisiana Tech,10
Georgia Southern,38,A,Georgia State,21
Indiana,42,H,Maryland,28
Iowa State,20,A,Houston,0
James Madison,63,H,Ball State,7
Kansas State,42,H,Oklahoma State,20
Kentucky,20,A,Mississippi,17
Louisiana,41,A,Wake Forest,38
Louisiana State,42,H,South Alabama,10
Louisiana-Monroe,13,A,Troy,9
Marshall,27,H,Western Michigan,20
Memphis,24,H,Middle Tennessee State,7
Miami OH,23,H,Massachusetts,20
Michigan,27,H,Minnesota,24
Navy,41,A,Alabama-Birmingham,18
Nebraska,28,A,Purdue,10
Nevada-Las Vegas,59,H,Fresno State,14
New Mexico,50,A,New Mexico State,40
North Carolina State,24,H,Northern Illinois,17
North Texas,52,H,Tulsa,20
Notre Dame,31,H,Louisville,24
Ohio,30,H,Akron,10
Ohio State,38,A,Michigan State,7
Oklahoma,27,A,Auburn,21
Old Dominion,30,A,Bowling Green,27
Oregon,34,A,UCLA,13
Penn State,21,H,Illinois,7
Sam Houston,40,N,Texas State,39
Southern California,38,H,Wisconsin,21
Southern Methodist,42,H,Florida State,16
Syracuse,42,H,Holy Cross,14
Tennessee-Martin,24,A,Kennesaw State,13
Texas,35,H,Mississippi State,13
Texas A&M,21,N,Arkansas,17
Texas Christian,38,A,Kansas,27
Texas Tech,44,H,Cincinnati,41
Tulane,45,H,South Florida,10
Wyoming,31,H,Air Force,19
Sam Houston,41,A,Texas-El Paso,21
Texas State,38,A,Troy,17
Houston,30,A,Texas Christian,19
Jacksonville State,63,A,Kennesaw State,24
Oregon,31,H,Michigan State,10
Syracuse,44,A,Nevada-Las Vegas,41
Arizona State,35,H,Kansas,31
Arkansas,19,H,Tennessee,14
Arkansas State,18,H,South Alabama,16
Army,49,A,Tulsa,7
Boise State,62,H,Utah State,30
Bowling Green,27,A,Akron,20
Charlotte,55,H,East Carolina,24
Clemson,29,A,Florida State,13
Coastal Carolina,45,H,Old Dominion,37
Connecticut,29,H,Temple,20
Florida,24,H,Central Florida,13
Georgia,31,H,Auburn,13
Georgia Tech,24,H,Duke,14
Indiana,41,A,Northwestern,24
Iowa State,43,H,Baylor,21
Louisiana,23,A,Southern Mississippi,13
Louisiana-Monroe,21,H,James Madison,19
Marshall,52,H,Appalachian State,37
Miami FL,39,A,California,38
